# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
4.213848790655162e-11  4.966398981287590e-05  7.469581051682644e-16
4.319481671535258e-11  5.010481905554087e-05  7.724792531918496e-16
4.427762560466297e-11  5.054956120220666e-05  7.988723764867901e-16
4.538757837789091e-11  5.099825098442423e-05  8.261672676342393e-16
4.652535547868791e-11  5.145092344283064e-05  8.543947371317263e-16
4.769165440808549e-11  5.190761392825927e-05  8.835866481720371e-16
4.888719015209153e-11  5.236835810595863e-05  9.137759526104513e-16
5.011269562000264e-11  5.283319195692471e-05  9.449967281607891e-16
5.136892209370725e-11  5.330215178256381e-05  9.772842168624030e-16
5.265663968824862e-11  5.377527420558081e-05  1.010674864861384e-15
5.397663782393661e-11  5.425259617464206e-05  1.045206363551043e-15
5.532972571029086e-11  5.473415496548562e-05  1.080917692117952e-15
5.671673284211911e-11  5.521998818536211e-05  1.117849161541722e-15
5.813850950802751e-11  5.571013377503320e-05  1.156042460098032e-15
5.959592731168202e-11  5.620463001232423e-05  1.195540700416437e-15
6.108987970613304e-11  5.670351551412267e-05  1.236388468145894e-15
6.262128254153833e-11  5.720682924104104e-05  1.278631872283135e-15
6.419107462661235e-11  5.771461049874915e-05  1.322318597220486e-15
6.580021830415404e-11  5.822689894219302e-05  1.367497956572116e-15
6.744970004099785e-11  5.874373457825932e-05  1.414220948839220e-15
6.914053103275786e-11  5.926515776888408e-05  1.462540314977240e-15
7.087374782372734e-11  5.979120923438330e-05  1.512510597929839e-15
7.265041294232242e-11  6.032193005611752e-05  1.564188204197087e-15
7.447161555245048e-11  6.085736168071065e-05  1.617631467507105e-15
7.633847212121183e-11  6.139754592204838e-05  1.672900714663296e-15
7.825212710333443e-11  6.194252496571906e-05  1.730058333641225e-15
8.021375364277106e-11  6.249234137145621e-05  1.789168844012293e-15
8.222455429187904e-11  6.304703807669121e-05  1.850298969773415e-15
8.428576174863359e-11  6.360665840032809e-05  1.913517714665198e-15
8.639863961231634e-11  6.417124604540803e-05  1.978896440063354e-15
8.856448315815291e-11  6.474084510288414e-05  2.046508945531562e-15
9.078462013136393e-11  6.531550005561826e-05  2.116431552126407e-15
9.306041156112480e-11  6.589525578082345e-05  2.188743188548689e-15
9.539325259492959e-11  6.648015755406078e-05  2.263525480238236e-15
9.778457335386935e-11  6.707025105279207e-05  2.340862841512753e-15
1.002358398093503e-10  6.766558235993259e-05  2.420842570854748e-15
1.027485546817915e-10  6.826619796784783e-05  2.503554949454166e-15
1.053242583618508e-10  6.887214478079606e-05  2.589093343117898e-15
1.079645298547427e-10  6.948347012025735e-05  2.677554307661174e-15
1.106709877482283e-10  7.010022172693198e-05  2.769037697899811e-15
1.134452912048727e-10  7.072244776584746e-05  2.863646780366449e-15
1.162891409791758e-10  7.135019682924515e-05  2.961488349877944e-15
1.192042804601998e-10  7.198351794079905e-05  3.062672850085415e-15
1.221924967403322e-10  7.262246055939059e-05  3.167314498143109e-15
1.252556217108432e-10  7.326707458288340e-05  3.275531413636849e-15
1.283955331849060e-10  7.391741035189803e-05  3.387445751917572e-15
1.316141560487680e-10  7.457351865380879e-05  3.503183841990365e-15
1.349134634417783e-10  7.523545072718463e-05  3.622876329114718e-15
1.382954779659993e-10  7.590325826534183e-05  3.746658322277040e-15
1.417622729261400e-10  7.657699342011881e-05  3.874669546701857e-15
1.453159736005710e-10  7.725670880631696e-05  4.007054501573719e-15
1.489587585441997e-10  7.794245750591955e-05  4.143962623147977e-15
1.526928609240101e-10  7.863429307231051e-05  4.285548453434590e-15
1.565205698880803e-10  7.933226953360517e-05  4.431971814645341e-15
1.604442319689175e-10  8.003644139797927e-05  4.583397989601245e-15
1.644662525219708e-10  8.074686365744377e-05  4.739997908303896e-15
1.685890972002081e-10  8.146359179161955e-05  4.901948340881447e-15
1.728152934656569e-10  8.218668177306654e-05  5.069432097126949e-15
1.771474321388345e-10  8.291619007128048e-05  5.242638232854156e-15
1.815881689870189e-10  8.365217365646771e-05  5.421762263303844e-15
1.861402263523374e-10  8.439469000487421e-05  5.607006383841628e-15
1.908063948206686e-10  8.514379710278241e-05  5.798579698196354e-15
1.955895349323768e-10  8.589955345139622e-05  5.996698454496500e-15
2.004925789359317e-10  8.666201807083773e-05  6.201586289371202e-15
